race_eth_code,median_income,affordability_ratio,ave_fam_size
1,75909.0,0.0829252,2.78
1,20000.0,0.3147383,2.78
1,30849.0,0.2040509,2.78
2,42852.0,0.1468955,2.78
1,37738.0,0.1668018,2.78
1,40202.0,0.1565784,2.78
2,24844.0,0.2024802,2.29
1,25125.0,0.2002156,2.29
1,14329.0,0.5659194,3.5
1,33287.0,0.2436104,3.5
1,27922.0,0.2904183,3.5
1,23249.0,0.3487918,3.5
1,98313.0,0.0824821,3.5
2,37009.0,0.2191105,3.5
1,43094.0,0.1881714,3.5
1,21594.0,0.3755237,3.5
1,28033.0,0.2892683,3.5
1,19531.0,0.3536954,3.09
1,28711.0,0.2406055,3.09
1,26024.0,0.2654482,3.09
1,22561.0,0.3061932,3.09
1,32105.0,0.2151697,3.09
2,36991.0,0.1867488,3.09
1,34213.0,0.2019123,3.09
1,36750.0,0.1879735,3.09
1,30286.0,0.228093,3.09
1,21780.0,0.3026214,2.89
2,39444.0,0.1671,2.89
1,11728.0,0.5619964,2.89
1,23162.0,0.284565,2.89
1,11848.0,0.705585,3.6
1,35673.0,0.2343445,3.6
1,27592.0,0.3029781,3.6
1,25120.0,0.3327934,3.6
2,32152.0,0.2600078,3.6
1,28558.0,0.2927296,3.6
1,43125.0,0.1938498,3.6
1,27814.0,0.3005598,3.6
1,23917.0,0.2829312,3.24
1,36556.0,0.1851096,3.24
1,26739.0,0.253071,3.24
1,23172.0,0.2920277,3.24
1,17460.0,0.3875639,3.24
2,41498.0,0.1630649,3.24
1,34000.0,0.1990255,3.24
1,19662.0,0.3441596,3.24
1,30021.0,0.2254044,3.24
1,32589.0,0.2292507,3.27
1,39156.0,0.1908022,3.27
1,22564.0,0.3311049,3.27
1,27446.0,0.2722091,3.27
1,26897.0,0.2777652,3.27
2,67545.0,0.1106085,3.27
1,52652.0,0.1418949,3.27
1,34410.0,0.2171186,3.27
1,30764.0,0.2412699,3.33
1,28196.0,0.2632439,3.33
1,25046.0,0.2963517,3.33
1,22115.0,0.3356286,3.33
1,22692.0,0.3270944,3.33
2,29716.0,0.2497788,3.33
1,26250.0,0.2827591,3.33
1,25632.0,0.2895765,3.33
1,48839.0,0.1297027,2.79
1,34565.0,0.1832648,2.79
1,63026.0,0.1005069,2.79
1,23225.0,0.272747,2.79
2,31398.0,0.2017501,2.79
1,45758.0,0.1384359,2.79
1,28082.0,0.2255733,2.79
1,41875.0,0.170578,3.17
1,60043.0,0.118964,3.17
1,29535.0,0.2418471,3.17
1,31167.0,0.2291833,3.17
1,78235.0,0.0913013,3.17
2,64016.0,0.1115808,3.17
1,42262.0,0.169016,3.17
1,43668.0,0.1635741,3.17
1,22321.0,0.3212547,3.17
1,35083.0,0.2043932,3.17
1,26719.0,0.2683755,3.17
1,25101.0,0.2856749,3.17
2,34554.0,0.2075223,3.17
1,34730.0,0.2064707,3.17
1,29425.0,0.243695,3.17
1,34402.0,0.2123228,3.2
1,47083.0,0.1551373,3.2
1,36065.0,0.2025323,3.2
1,26269.0,0.2780589,3.2
1,35904.0,0.2034405,3.2
2,61113.0,0.1195217,3.2
1,33750.0,0.2164246,3.2
1,24375.0,0.2996648,3.2
1,38280.0,0.1908132,3.2
1,48405.0,0.1372172,2.96
1,45714.0,0.1452946,2.96
1,22280.0,0.2981149,2.96
2,35071.0,0.1893872,2.96
1,24000.0,0.27675,2.96
1,27755.0,0.2393082,2.96
1,11660.0,0.5868198,3.05
1,23750.0,0.2880976,3.05
1,9800.0,0.6981958,3.05
1,16625.0,0.411568,3.05
2,19368.0,0.3532796,3.05
1,9340.0,0.7325823,3.05
1,19045.0,0.3592711,3.05
2,9125.0,1.0124318,3.84
1,9125.0,1.0124318,3.84
1,14531.0,0.3821745,2.53
1,20673.0,0.2686295,2.53
2,16053.0,0.3459401,2.53
1,34722.0,0.1599383,2.53
1,16638.0,0.3337767,2.53
1,13958.0,0.5144849,3.18
1,41786.0,0.1718561,3.18
1,29438.0,0.2439425,3.18
1,27315.0,0.2629024,3.18
1,40061.0,0.1792561,3.18
2,40837.0,0.1758499,3.18
1,17296.0,0.4151931,3.18
1,53864.0,0.1333206,3.18
1,33092.0,0.2170065,3.18
1,33750.0,0.2003592,2.97
1,52054.0,0.1299059,2.97
1,17011.0,0.3975148,2.97
1,25154.0,0.268829,2.97
2,40559.0,0.1667232,2.97
1,20769.0,0.3255874,2.97
1,35697.0,0.1894312,2.97
1,14830.0,0.5116345,3.39
1,32417.0,0.2340605,3.39
1,12906.0,0.5879079,3.39
1,18188.0,0.4171729,3.39
1,50833.0,0.1492641,3.39
2,27070.0,0.2802933,3.39
1,6314.0,1.201701,3.39
1,21001.0,0.3612942,3.39
1,31818.0,0.221819,3.2
1,16324.0,0.4323596,3.2
1,17590.0,0.4012415,3.2
2,25486.0,0.27693,3.2
1,17134.0,0.4119201,3.2
1,21385.0,0.3300369,3.2
1,6061.0,1.0641929,2.93
2,25031.0,0.2576834,2.93
1,21615.0,0.2984073,2.93
2,20594.0,0.2843682,2.68
1,15313.0,0.3824384,2.68
1,17099.0,0.3424925,2.68
1,27788.0,0.2897061,3.66
1,25083.0,0.3209486,3.66
1,29211.0,0.2755932,3.66
1,18521.0,0.4346608,3.66
2,23840.0,0.3376826,3.66
1,32222.0,0.2498403,3.66
1,19735.0,0.4079226,3.66
1,35887.0,0.1568563,2.57
2,21574.0,0.2609206,2.57
1,22020.0,0.2556358,2.57
1,60227.0,0.1263543,3.24
1,44522.0,0.1709254,3.24
1,36733.0,0.2071691,3.24
1,26981.0,0.2820481,3.24
2,53199.0,0.1430467,3.24
1,26287.0,0.2894945,3.24
1,53111.0,0.1432837,3.24
1,39816.0,0.1911277,3.24
1,50469.0,0.1357559,3.02
1,41364.0,0.1656384,3.02
1,21375.0,0.3205364,3.02
1,26659.0,0.2570039,3.02
1,6328.0,1.0827222,3.02
2,36438.0,0.1880308,3.02
1,48409.0,0.1415329,3.02
1,32020.0,0.2139746,3.02
1,13750.0,0.5156929,3.22
1,28750.0,0.2466357,3.22
1,16750.0,0.42333,3.22
1,27813.0,0.2549447,3.22
2,22056.0,0.3214897,3.22
1,23109.0,0.3068405,3.22
1,23260.0,0.3048485,3.22
1,102750.0,0.057327,2.44
2,12500.0,0.6470352,3.44
1,12500.0,0.6470352,3.44
1,17310.0,0.5436859,4.01
